# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;re:Trc2_S21;im:Trc2_S21;
2.407500000000000E+009;1.804501563310623E-001;9.187296032905579E-003;-1.826906227506697E-003;-3.322249278426170E-003;
2.407666666666667E+009;1.802170723676682E-001;8.731829933822155E-003;-2.000145381316543E-003;-3.238988807424903E-003;
2.407833333333334E+009;1.798905581235886E-001;8.049574680626392E-003;-2.054257551208139E-003;-3.151592798531056E-003;
2.408000000000000E+009;1.795154064893723E-001;7.358016446232796E-003;-2.299863379448652E-003;-3.036523004993796E-003;
2.408166666666667E+009;1.789492666721344E-001;6.899011787027121E-003;-2.483332529664040E-003;-2.978209871798754E-003;
2.408333333333334E+009;1.785623729228973E-001;6.157181225717068E-003;-2.645543310791254E-003;-2.916308818385005E-003;
2.408500000000000E+009;1.778727471828461E-001;5.386737175285816E-003;-2.871667733415961E-003;-2.854430116713047E-003;
2.408666666666667E+009;1.773506402969360E-001;4.378320183604956E-003;-2.826377516612411E-003;-2.623575506731868E-003;
2.408833333333334E+009;1.764438152313232E-001;3.423671238124371E-003;-2.930600196123123E-003;-2.501843031495810E-003;
2.409000000000000E+009;1.758528649806976E-001;2.580056665465236E-003;-3.171580377966166E-003;-2.434925176203251E-003;
2.409166666666667E+009;1.752155572175980E-001;1.230670954100788E-003;-3.127082251012325E-003;-2.265141811221838E-003;
2.409333333333334E+009;1.746605187654495E-001;-5.186521229916252E-005;-3.356305882334709E-003;-2.194913104176521E-003;
2.409500000000000E+009;1.737099885940552E-001;-1.461739651858807E-003;-3.384581534191966E-003;-2.250435994938016E-003;
2.409666666666667E+009;1.728712320327759E-001;-2.756925765424967E-003;-3.404002869501710E-003;-2.081321552395821E-003;
2.409833333333334E+009;1.723000854253769E-001;-4.325782414525747E-003;-3.602714743465185E-003;-1.893549575470388E-003;
2.410000000000000E+009;1.718179434537888E-001;-5.867804866284132E-003;-3.627259749919176E-003;-1.746456371620297E-003;
2.410166666666667E+009;1.710282564163208E-001;-7.476994767785072E-003;-3.601993666961789E-003;-1.640252652578056E-003;
