# Version 1.00
#
freq[Hz];re:Trc1_S11;im:Trc1_S11;re:Trc2_S21;im:Trc2_S21;
2.411000000000000E+009;1.825328916311264E-001;1.405772101134062E-002;-6.962203886359930E-003;-2.469122642651200E-003;
2.411166666666667E+009;1.820568293333054E-001;1.213941257447004E-002;-7.011886220425367E-003;-2.301689470186830E-003;
2.411333333333334E+009;1.814995408058167E-001;9.586774744093418E-003;-7.310545071959496E-003;-2.381105208769441E-003;
2.411500000000000E+009;1.813829392194748E-001;7.604621816426516E-003;-7.377534639090300E-003;-2.264277543872595E-003;
2.411666666666667E+009;1.812342107295990E-001;5.419188179075718E-003;-7.476853206753731E-003;-2.016326412558556E-003;
2.411833333333334E+009;1.810465157032013E-001;3.333474509418011E-003;-7.819605059921742E-003;-1.788464956916869E-003;
2.412000000000000E+009;1.813809722661972E-001;9.102122276090086E-004;-7.789249531924725E-003;-1.742652850225568E-003;
2.412166666666667E+009;1.813222914934158E-001;-1.075215870514512E-003;-8.088250644505024E-003;-1.546140643768013E-003;
2.412333333333334E+009;1.815883815288544E-001;-3.279645461589098E-003;-8.273039013147354E-003;-1.175602548755705E-003;
2.412500000000000E+009;1.819253712892532E-001;-5.385503638535738E-003;-8.546591736376286E-003;-8.257848676294088E-004;
2.412666666666667E+009;1.826184689998627E-001;-7.509369403123856E-003;-8.633323013782501E-003;-5.758802290074527E-004;
2.412833333333334E+009;1.829915493726730E-001;-9.773077443242073E-003;-8.819567970931530E-003;-1.505816471762955E-004;
2.413000000000000E+009;1.839763820171356E-001;-1.188362576067448E-002;-8.904483169317246E-003;2.249662793474272E-004;
2.413166666666667E+009;1.845490783452988E-001;-1.394482702016830E-002;-8.996137417852879E-003;4.157672810833901E-004;
2.413333333333334E+009;1.854512840509415E-001;-1.596341840922833E-002;-9.121606126427651E-003;1.006781938485801E-003;
2.413500000000000E+009;1.861819326877594E-001;-1.810863614082336E-002;-9.058851748704910E-003;1.286531565710902E-003;
2.413666666666667E+009;1.874116361141205E-001;-2.003526501357555E-002;-9.113932959735394E-003;1.638449844904244E-003;
2.413833333333334E+009;1.882683485746384E-001;-2.177890017628670E-002;-9.139363653957844E-003;2.049067756161094E-003;
2.414000000000000E+009;1.893557012081146E-001;-2.368977293372154E-002;-8.878682740032673E-003;2.576278056949377E-003;
2.414166666666667E+009;1.902566552162170E-001;-2.537084743380547E-002;-8.919584564864636E-003;2.939054276794195E-003;
2.414333333333334E+009;1.913098543882370E-001;-2.714575082063675E-002;-8.620752021670342E-003;3.236876334995031E-003;
2.414500000000000E+009;1.923196166753769E-001;-2.851909771561623E-002;-8.584091439843178E-003;3.554307622835040E-003;
2.414666666666667E+009;1.932661533355713E-001;-2.989939972758293E-002;-8.188556879758835E-003;4.089177586138248E-003;
2.414833333333334E+009;1.941991746425629E-001;-3.132834285497665E-002;-8.050289005041122E-003;4.283317830413580E-003;
2.415000000000000E+009;1.952154487371445E-001;-3.265427798032761E-002;-7.856492884457111E-003;4.520481452345848E-003;
2.415166666666667E+009;1.962782442569733E-001;-3.369493782520294E-002;-7.577749434858561E-003;4.841871093958616E-003;
2.415333333333334E+009;1.972996890544891E-001;-3.460946679115295E-002;-7.316936738789082E-003;5.302853882312775E-003;
2.415500000000000E+009;1.981384903192520E-001;-3.546494245529175E-002;-7.157768122851849E-003;5.506644956767559E-003;
2.415666666666667E+009;1.988961994647980E-001;-3.647273778915405E-002;-6.807558704167604E-003;5.676467902958393E-003;
2.415833333333334E+009;1.995294839143753E-001;-3.704120963811874E-002;-6.622133310884237E-003;5.886625964194536E-003;
2.416000000000000E+009;2.002259641885757E-001;-3.773915395140648E-002;-6.498134229332209E-003;6.278004497289658E-003;
2.416166666666667E+009;2.007961571216583E-001;-3.843889012932777E-002;-6.171760149300098E-003;6.324611604213715E-003;
2.416333333333334E+009;2.012189179658890E-001;-3.885103762149811E-002;-5.786295980215073E-003;6.651561707258225E-003;
2.416500000000000E+009;2.016094028949738E-001;-3.943049907684326E-002;-5.564657971262932E-003;6.688336376100779E-003;
2.416666666666667E+009;2.017183005809784E-001;-3.986005857586861E-002;-5.387604236602783E-003;6.828154902905226E-003;
2.416833333333334E+009;2.017138451337814E-001;-4.006998613476753E-002;-4.830297548323870E-003;6.958991289138794E-003;
2.417000000000000E+009;2.017705887556076E-001;-4.045687615871429E-002;-4.787121899425983E-003;7.255669217556715E-003;
2.417166666666667E+009;2.013839036226273E-001;-4.063646495342255E-002;-4.381625447422266E-003;7.371499203145504E-003;
2.417333333333334E+009;2.010365128517151E-001;-4.050296917557716E-002;-4.130436107516289E-003;7.431548554450274E-003;
2.417500000000000E+009;2.008227258920670E-001;-4.087342694401741E-002;-3.778728423640132E-003;7.689373567700386E-003;
2.417666666666667E+009;2.003508955240250E-001;-4.079591855406761E-002;-3.489592112600803E-003;7.625466678291559E-003;
2.417833333333334E+009;1.997651755809784E-001;-4.078089073300362E-002;-3.141541732475162E-003;7.673400919884443E-003;
2.418000000000000E+009;1.993104964494705E-001;-4.084986448287964E-002;-2.813674043864012E-003;7.790297735482454E-003;
2.418166666666667E+009;1.985265165567398E-001;-4.096032306551933E-002;-2.585700247436762E-003;7.763689383864403E-003;
2.418333333333334E+009;1.976117342710495E-001;-4.104551672935486E-002;-2.231852849945426E-003;7.791243493556976E-003;
2.418500000000000E+009;1.968010812997818E-001;-4.135372117161751E-002;-1.966632902622223E-003;7.757883984595537E-003;
2.418666666666667E+009;1.958627253770828E-001;-4.133900254964829E-002;-1.632413361221552E-003;7.678641006350517E-003;
2.418833333333334E+009;1.948051452636719E-001;-4.168708249926567E-002;-1.380420173518360E-003;7.716074120253325E-003;
2.419000000000000E+009;1.936148405075073E-001;-4.206686839461327E-002;-1.226766500622034E-003;7.579712662845850E-003;
2.419166666666667E+009;1.925090402364731E-001;-4.256126284599304E-002;-8.687863009981811E-004;7.482240442186594E-003;
2.419333333333334E+009;1.913000196218491E-001;-4.319392889738083E-002;-7.437977474182844E-004;7.351885084062815E-003;
2.419500000000000E+009;1.900376081466675E-001;-4.374679923057556E-002;-4.547151620499790E-004;7.250708993524313E-003;
2.419666666666667E+009;1.885817348957062E-001;-4.456272721290588E-002;-3.534339484758675E-004;7.165901828557253E-003;
2.419833333333334E+009;1.872031688690186E-001;-4.535361006855965E-002;-2.369575486227404E-005;6.941106636077166E-003;
2.420000000000000E+009;1.858792901039124E-001;-4.601715132594109E-002;1.308044593315572E-004;6.879406515508890E-003;
2.420166666666667E+009;1.845558434724808E-001;-4.722565039992333E-002;7.481108332285658E-005;6.790749728679657E-003;
2.420333333333334E+009;1.830618679523468E-001;-4.832343757152557E-002;3.058735164813697E-004;6.656402722001076E-003;
2.420500000000000E+009;1.817715615034103E-001;-4.957191646099091E-002;2.768416015896946E-004;6.597701925784349E-003;
2.420666666666667E+009;1.801440566778183E-001;-5.082149803638458E-002;5.036146612837911E-004;6.691773422062397E-003;
2.420833333333334E+009;1.788478791713715E-001;-5.226645991206169E-002;5.537922261282802E-004;6.617154460400343E-003;
2.421000000000000E+009;1.774017512798309E-001;-5.379836261272430E-002;5.738063482567668E-004;6.616354919970036E-003;
2.421166666666667E+009;1.765423566102982E-001;-5.522515624761581E-002;6.886485498398542E-004;6.507855840027332E-003;
2.421333333333334E+009;1.750046759843826E-001;-5.660230293869972E-002;8.725900552235544E-004;6.521463394165039E-003;
2.421500000000000E+009;1.737435609102249E-001;-5.847864225506783E-002;9.374376968480647E-004;6.658739876002073E-003;
2.421666666666667E+009;1.727478802204132E-001;-6.028387695550919E-002;1.282309880480170E-003;6.609631702303886E-003;
2.421833333333334E+009;1.718142479658127E-001;-6.197481229901314E-002;1.293676439672709E-003;6.441229488700628E-003;
2.422000000000000E+009;1.708983927965164E-001;-6.357103586196899E-002;1.444918336346746E-003;6.451217923313379E-003;
2.422166666666667E+009;1.700526326894760E-001;-6.555220484733582E-002;1.377780805341899E-003;6.560866255313158E-003;
2.422333333333334E+009;1.691886782646179E-001;-6.740670651197434E-002;1.591543201357126E-003;6.344477646052837E-003;
2.422500000000000E+009;1.684337556362152E-001;-6.929425150156021E-002;1.945540774613619E-003;6.332669407129288E-003;
2.422666666666667E+009;1.676343977451325E-001;-7.087958604097366E-002;1.866418984718621E-003;6.402784027159214E-003;
2.422833333333334E+009;1.673116683959961E-001;-7.287824153900147E-002;2.124964259564877E-003;6.311082281172276E-003;
2.423000000000000E+009;1.666899323463440E-001;-7.460096478462219E-002;2.305698348209262E-003;6.361374631524086E-003;
2.423166666666667E+009;1.664185076951981E-001;-7.644442468881607E-002;2.357417019084096E-003;6.233011372387409E-003;
2.423333333333334E+009;1.660914570093155E-001;-7.837016880512238E-002;2.527641365304589E-003;6.332967896014452E-003;
2.423500000000000E+009;1.660633534193039E-001;-7.999228686094284E-002;2.937369281426072E-003;6.313511636108160E-003;
2.423666666666667E+009;1.659108847379684E-001;-8.165390044450760E-002;3.026270074769855E-003;6.176790222525597E-003;
2.423833333333334E+009;1.659001111984253E-001;-8.330572396516800E-002;3.267556661739945E-003;6.229379214346409E-003;
